Comp Name:atlopen19
Dancers
Abraham, Sheila:3938
["Heat", "814", "Session 5 - Saturday Matinee@Saturday 04:56PM-F", "L-S1 Open GLOBAL International Latin 4 dance Scholarship (C/S/R/J)", "151", "Folker, Ian and Tan, Coree", "---"]
Dancer:Frances, Esther:4049:Heats:1
["Pro heat", "3", "Session 4 - Friday Evening@Friday 10:04PM-F", "Professional Rising Star American Smooth (W/T/FT/VW)", "189", "Frances, Esther and Krasnyanskiy, Dmitry", "---"]
Dancer:Fuentes, Maria:3891:Heats:23
["Heat", "188", "Session 2 - Thursday Evening@Thursday 07:34PM-F", "L-AA Open Inter. Gold American Waltz", "129", "Fuentes, Maria and Walker, Peter", "---"]
["Heat", "189", "Session 2 - Thursday Evening@Thursday 07:35PM-F", "L-AA Open Inter. Gold American Tango", "129", "Fuentes, Maria and Walker, Peter", "---"]
["Heat", "190", "Session 2 - Thursday Evening@Thursday 07:37PM-F", "L-AA Open Inter. Gold American Foxtrot", "129", "Fuentes, Maria and Walker, Peter", "---"]
["Heat", "191", "Session 2 - Thursday Evening@Thursday 07:39PM-F", "L-AA Open Inter. Gold American V. Waltz", "129", "Fuentes, Maria and Walker, Peter", "---"]
["Heat", "209", "Session 2 - Thursday Evening@Thursday 08:16PM-F", "L-AA Advanced American Waltz", "129", "Fuentes, Maria and Walker, Peter", "---"]
["Heat", "210", "Session 2 - Thursday Evening@Thursday 08:17PM-F", "L-AA Advanced American Tango", "129", "Fuentes, Maria and Walker, Peter", "---"]
["Heat", "211", "Session 2 - Thursday Evening@Thursday 08:19PM-F", "L-AA Advanced American Foxtrot", "129", "Fuentes, Maria and Walker, Peter", "---"]
["Heat", "212", "Session 2 - Thursday Evening@Thursday 08:20PM-F", "L-AA Advanced American V. Waltz", "129", "Fuentes, Maria and Walker, Peter", "---"]
["Heat", "235", "Session 2 - Thursday Evening@Thursday 09:36PM-F", "L-A Open Dancesport Series American Smooth (W/T/FT/VW)", "129", "Fuentes, Maria and Walker, Peter", "---"]
["Heat", "241", "Session 2 - Thursday Evening@Thursday 10:28PM-F", "L-A Open American Smooth Open Best of the Best & Scholarship (W/T/F/VW)", "129", "Fuentes, Maria and Walker, Peter", "---"]
["Heat", "242B", "Session 2 - Thursday Evening@Thursday 10:40PM-F", "L- Open Gold Best of the Best American Smooth Showdance", "129", "Fuentes, Maria and Walker, Peter", "---"]
["Heat", "541", "Session 3 - Friday Matinee@Friday 04:31PM-F", "L-AA Closed Full Gold American Cha Cha", "113", "Fuentes, Maria and Bennett, Kemar", "---"]
["Heat", "542", "Session 3 - Friday Matinee@Friday 04:32PM-F", "L-AA Closed Full Gold American Rumba", "113", "Fuentes, Maria and Bennett, Kemar", "---"]
["Heat", "543", "Session 3 - Friday Matinee@Friday 04:34PM-F", "L-AA Closed Full Gold American East Coast Swing", "113", "Fuentes, Maria and Bennett, Kemar", "---"]
["Heat", "544", "Session 3 - Friday Matinee@Friday 04:35PM-F", "L-AA Closed Full Gold American Bolero", "113", "Fuentes, Maria and Bennett, Kemar", "---"]
["Heat", "545", "Session 3 - Friday Matinee@Friday 04:37PM-F", "L-AA Closed Full Gold American Mambo", "113", "Fuentes, Maria and Bennett, Kemar", "---"]
["Heat", "551", "Session 3 - Friday Matinee@Friday 04:46PM-F", "L-AA Advanced American Cha Cha", "113", "Fuentes, Maria and Bennett, Kemar", "---"]
["Heat", "552", "Session 3 - Friday Matinee@Friday 04:47PM-F", "L-AA Advanced American Rumba", "113", "Fuentes, Maria and Bennett, Kemar", "---"]
["Heat", "553", "Session 3 - Friday Matinee@Friday 04:49PM-F", "L-AA Advanced American East Coast Swing", "113", "Fuentes, Maria and Bennett, Kemar", "---"]
["Heat", "554", "Session 3 - Friday Matinee@Friday 04:50PM-F", "L-AA Advanced American Bolero", "113", "Fuentes, Maria and Bennett, Kemar", "---"]
["Heat", "555", "Session 3 - Friday Matinee@Friday 04:52PM-F", "L-AA Advanced American Mambo", "113", "Fuentes, Maria and Bennett, Kemar", "---"]
["Heat", "580", "Session 3 - Friday Matinee@Friday 05:45PM-F", "L-A Open Dancesport Series American Rhythm (C/R/SW/B/MA)", "113", "Fuentes, Maria and Bennett, Kemar", "---"]
["Heat", "589", "Session 4 - Friday Evening@Friday 09:41PM-F", "L-A Open American Rhythm Open Best of the Best & Scholarship (C/R/SW/B/MA)", "113", "Fuentes, Maria and Bennett, Kemar", "---"]
Dancer:Fukunaga, Ed:3372:Heats:50
["Heat", "158", "Session 2 - Thursday Evening@Thursday 06:48PM-F", "G-B2 Closed Pre Silver American Waltz", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "159", "Session 2 - Thursday Evening@Thursday 06:49PM-F", "G-B2 Closed Pre Silver American Tango", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "160", "Session 2 - Thursday Evening@Thursday 06:51PM-F", "G-B2 Closed Pre Silver American Foxtrot", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "161", "Session 2 - Thursday Evening@Thursday 06:53PM-F", "G-B2 Closed Pre Silver American V. Waltz", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "162", "Session 2 - Thursday Evening@Thursday 06:54PM-F", "G-B2 Closed Pre Silver American Peabody", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "175", "Session 2 - Thursday Evening@Thursday 07:14PM-F", "G-B2 Closed Int Silver American Waltz", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "176", "Session 2 - Thursday Evening@Thursday 07:16PM-F", "G-B2 Closed Int Silver American Tango", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "177", "Session 2 - Thursday Evening@Thursday 07:17PM-F", "G-B2 Closed Int Silver American Foxtrot", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "178", "Session 2 - Thursday Evening@Thursday 07:19PM-F", "G-B2 Closed Int Silver American V. Waltz", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "179", "Session 2 - Thursday Evening@Thursday 07:20PM-F", "G-B2 Closed Int Silver American Peabody", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "188", "Session 2 - Thursday Evening@Thursday 07:34PM-F", "G-B2 Closed Full Silver American Waltz", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "189", "Session 2 - Thursday Evening@Thursday 07:35PM-F", "G-B2 Closed Full Silver American Tango", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "190", "Session 2 - Thursday Evening@Thursday 07:37PM-F", "G-B2 Closed Full Silver American Foxtrot", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "191", "Session 2 - Thursday Evening@Thursday 07:39PM-F", "G-B2 Closed Full Silver American V. Waltz", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "192", "Session 2 - Thursday Evening@Thursday 07:40PM-F", "G-B2 Closed Full Silver American Peabody", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "225", "Session 2 - Thursday Evening@Thursday 08:53PM-F", "American Silver 9-Dance Challenge - C - Waltz", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "226", "Session 2 - Thursday Evening@Thursday 08:55PM-F", "American Silver 9-Dance Challenge - C - Tango", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "227", "Session 2 - Thursday Evening@Thursday 08:56PM-F", "American Silver 9-Dance Challenge - C - Foxtrot", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "228", "Session 2 - Thursday Evening@Thursday 08:58PM-F", "American Silver 9-Dance Challenge - C - V. Waltz", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "229", "Session 2 - Thursday Evening@Thursday 08:59PM-F", "G-C Gentlemen Closed Silver Pro/Am 3-Dance Challenge American Smooth (W/T/FT)", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "233", "Session 2 - Thursday Evening@Thursday 09:23PM-F", "G-C Closed Silver Dancesport Series American Smooth (W/T/FT/VW)", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "237", "Session 2 - Thursday Evening@Thursday 09:58PM-S", "G-C Closed American Smooth Silver Best of the Best & Scholarship (W/T/F/VW)", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "331", "Session 3 - Friday Matinee@Friday 09:52AM-F", "G-B2 Closed Int Bronze American Cha Cha", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "332", "Session 3 - Friday Matinee@Friday 09:53AM-F", "G-B2 Closed Int Bronze American Rumba", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "333", "Session 3 - Friday Matinee@Friday 09:55AM-F", "G-B2 Closed Int Bronze American East Coast Swing", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "334", "Session 3 - Friday Matinee@Friday 09:56AM-F", "G-B2 Closed Int Bronze American Bolero", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "335", "Session 3 - Friday Matinee@Friday 09:58AM-F", "G-B2 Closed Int Bronze American Mambo", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "406", "Session 3 - Friday Matinee@Friday 12:10PM-F", "G-B2 Closed Full Bronze American Cha Cha", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "407", "Session 3 - Friday Matinee@Friday 12:12PM-F", "G-B2 Closed Full Bronze American Rumba", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "408", "Session 3 - Friday Matinee@Friday 12:13PM-F", "G-B2 Closed Full Bronze American East Coast Swing", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "409", "Session 3 - Friday Matinee@Friday 12:15PM-F", "G-B2 Closed Full Bronze American Bolero", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "410", "Session 3 - Friday Matinee@Friday 12:16PM-F", "G-B2 Closed Full Bronze American Mambo", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "433", "Session 3 - Friday Matinee@Friday 12:56PM-F", "G-B2 Open Inter. Bronze American Cha Cha", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "434", "Session 3 - Friday Matinee@Friday 12:57PM-F", "G-B2 Open Inter. Bronze American Rumba", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "435", "Session 3 - Friday Matinee@Friday 12:59PM-F", "G-B2 Open Inter. Bronze American East Coast Swing", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "436", "Session 3 - Friday Matinee@Friday 01:00PM-F", "G-B2 Open Inter. Bronze American Bolero", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "437", "Session 3 - Friday Matinee@Friday 01:02PM-F", "G-B2 Open Inter. Bronze American Mambo", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "448", "Session 3 - Friday Matinee@Friday 01:18PM-F", "G-B2 Open Full Bronze American Cha Cha", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "449", "Session 3 - Friday Matinee@Friday 01:20PM-F", "G-B2 Open Full Bronze American Rumba", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "450", "Session 3 - Friday Matinee@Friday 01:21PM-F", "G-B2 Open Full Bronze American East Coast Swing", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "451", "Session 3 - Friday Matinee@Friday 01:23PM-F", "G-B2 Open Full Bronze American Bolero", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "452", "Session 3 - Friday Matinee@Friday 01:24PM-F", "G-B2 Open Full Bronze American Mambo", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "468", "Session 3 - Friday Matinee@Friday 02:11PM-F", "G-C Gentlemen Closed Bronze Pro/Am 3-Dance Challenge American Rhythm (C/R/SW)", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "486", "Session 3 - Friday Matinee@Friday 02:44PM-F", "G-C Closed Bronze Dancesport Series American Rhythm (C/R/SW/B)", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "575", "Session 3 - Friday Matinee@Friday 05:37PM-F", "American Silver 9-Dance Challenge - C - Cha Cha", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "578", "Session 3 - Friday Matinee@Friday 05:45PM-F", "American Silver 9-Dance Challenge - C - Bolero", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "579", "Session 3 - Friday Matinee@Friday 05:45PM-F", "American Silver 9-Dance Challenge - C - Mambo", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "576", "Session 3 - Friday Matinee@Friday 05:45PM-F", "American Silver 9-Dance Challenge - C - Rumba", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "577", "Session 3 - Friday Matinee@Friday 05:45PM-F", "American Silver 9-Dance Challenge - C - Swing", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
["Heat", "581", "Session 4 - Friday Evening@Friday 08:00PM-S", "G-C Closed American Rhythm Bronze Best of the Best & Scholarship (C/R/SW)", "335", "Fukunaga, Ed and Judd, Shelley", "---"]
Dancer:Fulper-Smith, Mersey:3893:Heats:2
["Pro heat", "5", "Session 6 - Saturday Evening@Saturday 07:30PM-S", "Professional Open American Rhythm (C/R/SW/B/MA)", "114", "Fulper-Smith, Mersey and Britt, Will", "---"]
["Pro heat", "9", "Session 6 - Saturday Evening@Saturday 09:50PM-F", "Professional Showdance", "114", "Fulper-Smith, Mersey and Britt, Will", "---"]
Dancer:Fulvi, Daniele:4057:Heats:2
["Pro heat", "4", "Session 4 - Friday Evening@Friday 10:11PM-F", "Professional Rising Star International Latin (C/S/R/PD/J)", "194", "Fulvi, Daniele and Criscione, Veronica", "---"]
["Pro heat", "8", "Session 6 - Saturday Evening@Saturday 08:50PM-F", "Professional Open International Latin (C/S/R/PD/J)", "194", "Fulvi, Daniele and Criscione, Veronica", "---"]
Dancer:Gartchev, Ivan:3795:Heats:1
["Pro heat", "1", "Session 4 - Friday Evening@Friday 09:00PM-S", "Professional Rising Star American Rhythm (C/R/SW/B/MA)", "184", "Gartchev, Ivan and Boresow, Leah", "---"]
Dancer:Gintautiene, Victoria:3946:Heats:7
["Heat", "792", "Session 5 - Saturday Matinee@Saturday 03:31PM-F", "L-A1 Advanced International Cha Cha", "147", "Gintautiene, Victoria and Maleckis, Robertas", "---"]
["Heat", "793", "Session 5 - Saturday Matinee@Saturday 03:32PM-F", "L-A1 Advanced International Samba", "147", "Gintautiene, Victoria and Maleckis, Robertas", "---"]
["Heat", "794", "Session 5 - Saturday Matinee@Saturday 03:34PM-F", "L-A1 Advanced International Rumba", "147", "Gintautiene, Victoria and Maleckis, Robertas", "---"]
["Heat", "795", "Session 5 - Saturday Matinee@Saturday 03:35PM-F", "L-A1 Advanced International Paso Doble", "147", "Gintautiene, Victoria and Maleckis, Robertas", "---"]
["Heat", "796", "Session 5 - Saturday Matinee@Saturday 03:37PM-F", "L-A1 Advanced International Jive", "147", "Gintautiene, Victoria and Maleckis, Robertas", "---"]
["Heat", "809", "Session 5 - Saturday Matinee@Saturday 04:20PM-F", "L-B Open Dancesport Series International Latin (C/S/R/PD/J)", "147", "Gintautiene, Victoria and Maleckis, Robertas", "---"]
["Heat", "813", "Session 5 - Saturday Matinee@Saturday 04:49PM-F", "L-B Open International Latin Open Best of the Best & Scholarship (C/S/R/PD/J)", "147", "Gintautiene, Victoria and Maleckis, Robertas", "---"]
Dancer:Gonyea, Jacklyn:3430:Heats:3
["Pro heat", "5", "Session 6 - Saturday Evening@Saturday 07:30PM-S", "Professional Open American Rhythm (C/R/SW/B/MA)", "146", "Gonyea, Jacklyn and Dawson, Staz", "---"]
["Pro heat", "7", "Session 6 - Saturday Evening@Saturday 08:40PM-S", "Professional Open American Smooth (W/T/FT/VW)", "146", "Gonyea, Jacklyn and Dawson, Staz", "---"]
["Pro heat", "9", "Session 6 - Saturday Evening@Saturday 09:50PM-F", "Professional Showdance", "146", "Gonyea, Jacklyn and Dawson, Staz", "---"]
Dancer:Gonzalez, Matteo:4058:Heats:5
["Heat", "590", "Session 5 - Saturday Matinee@Saturday 08:00AM-F", "AC-PT2 Closed Newcomer International Waltz", "351", "Gonzalez, Matteo and Filipov, Milla", "---"]
["Heat", "592", "Session 5 - Saturday Matinee@Saturday 08:03AM-F", "AC-PT2 Closed Newcomer International Quickstep", "351", "Gonzalez, Matteo and Filipov, Milla", "---"]
["Heat", "725", "Session 5 - Saturday Matinee@Saturday 01:45PM-F", "AC-PT2 Closed Newcomer International Cha Cha", "351", "Gonzalez, Matteo and Filipov, Milla", "---"]
["Heat", "727", "Session 5 - Saturday Matinee@Saturday 01:48PM-F", "AC-PT2 Closed Newcomer International Rumba", "351", "Gonzalez, Matteo and Filipov, Milla", "---"]
["Heat", "728", "Session 5 - Saturday Matinee@Saturday 01:50PM-F", "AC-PT2 Closed Newcomer International Jive", "351", "Gonzalez, Matteo and Filipov, Milla", "---"]
Dancer:Gordeeva, Anastasia:3903:Heats:2
["Pro heat", "1", "Session 4 - Friday Evening@Friday 09:00PM-S", "Professional Rising Star American Rhythm (C/R/SW/B/MA)", "122", "Gordeeva, Anastasia and Evans, Enoch", "---"]
["Pro heat", "5", "Session 6 - Saturday Evening@Saturday 07:30PM-S", "Professional Open American Rhythm (C/R/SW/B/MA)", "122", "Gordeeva, Anastasia and Evans, Enoch", "---"]
Dancer:Gorianskyi, Oleg:3980:Heats:78
["Heat", "593", "Session 5 - Saturday Matinee@Saturday 08:04AM-F", "L-AA Closed Beginner Bronze International Waltz", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "594", "Session 5 - Saturday Matinee@Saturday 08:06AM-F", "L-AA Closed Beginner Bronze International Tango", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "595", "Session 5 - Saturday Matinee@Saturday 08:07AM-F", "L-AA Closed Beginner Bronze International Viennese Waltz", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "596", "Session 5 - Saturday Matinee@Saturday 08:09AM-F", "L-AA Closed Beginner Bronze International Foxtrot", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "597", "Session 5 - Saturday Matinee@Saturday 08:10AM-F", "L-AA Closed Beginner Bronze International Quickstep", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "601", "Session 5 - Saturday Matinee@Saturday 08:16AM-F", "L-A1 Closed Beginner Bronze International Waltz", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "602", "Session 5 - Saturday Matinee@Saturday 08:18AM-F", "L-A1 Closed Beginner Bronze International Tango", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "603", "Session 5 - Saturday Matinee@Saturday 08:19AM-F", "L-A1 Closed Beginner Bronze International Viennese Waltz", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "604", "Session 5 - Saturday Matinee@Saturday 08:21AM-F", "L-A1 Closed Beginner Bronze International Foxtrot", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "605", "Session 5 - Saturday Matinee@Saturday 08:23AM-F", "L-A1 Closed Beginner Bronze International Quickstep", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "606", "Session 5 - Saturday Matinee@Saturday 08:24AM-F", "L-AA Closed Int Bronze International Waltz", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "607", "Session 5 - Saturday Matinee@Saturday 08:26AM-F", "L-AA Closed Int Bronze International Tango", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "608", "Session 5 - Saturday Matinee@Saturday 08:27AM-F", "L-AA Closed Int Bronze International Quickstep", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "609", "Session 5 - Saturday Matinee@Saturday 08:29AM-F", "L-AA Closed Int Bronze International Viennese Waltz", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "610", "Session 5 - Saturday Matinee@Saturday 08:30AM-F", "L-AA Closed Int Bronze International Foxtrot", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "611", "Session 5 - Saturday Matinee@Saturday 08:32AM-F", "L-A1 Closed Int Bronze International Waltz", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "612", "Session 5 - Saturday Matinee@Saturday 08:33AM-F", "L-A1 Closed Int Bronze International Tango", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "613", "Session 5 - Saturday Matinee@Saturday 08:35AM-F", "L-A1 Closed Int Bronze International Viennese Waltz", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "614", "Session 5 - Saturday Matinee@Saturday 08:36AM-F", "L-A1 Closed Int Bronze International Foxtrot", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "615", "Session 5 - Saturday Matinee@Saturday 08:38AM-F", "L-A1 Closed Int Bronze International Quickstep", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "616", "Session 5 - Saturday Matinee@Saturday 08:39AM-F", "L-AA Closed Full Bronze International Waltz", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "617", "Session 5 - Saturday Matinee@Saturday 08:41AM-F", "L-AA Closed Full Bronze International Tango", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "618", "Session 5 - Saturday Matinee@Saturday 08:42AM-F", "L-AA Closed Full Bronze International Viennese Waltz", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "619", "Session 5 - Saturday Matinee@Saturday 08:44AM-F", "L-AA Closed Full Bronze International Foxtrot", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "620", "Session 5 - Saturday Matinee@Saturday 08:46AM-F", "L-AA Closed Full Bronze International Quickstep", "155", "Gorianskyi, Oleg and Shafer, Eleanor", "---"]
["Heat", "626", "Session 5 - Saturday Matinee@Saturday 08:55AM-F", "L-A1 Closed Full Bronze International Waltz", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "627", "Session 5 - Saturday Matinee@Saturday 08:56AM-F", "L-A1 Closed Full Bronze International Tango", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "628", "Session 5 - Saturday Matinee@Saturday 08:58AM-F", "L-A1 Closed Full Bronze International Viennese Waltz", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "629", "Session 5 - Saturday Matinee@Saturday 08:59AM-F", "L-A1 Closed Full Bronze International Foxtrot", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "630", "Session 5 - Saturday Matinee@Saturday 09:01AM-F", "L-A1 Closed Full Bronze International Quickstep", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "649", "Session 5 - Saturday Matinee@Saturday 09:44AM-F", "L-A Closed Bronze Dancesport Series International Ballroom (W/T/F/QS)", "155", "Gorianskyi, Oleg and Prigoda, Sylvia", "---"]
["Heat", "652", "Session 5 - Saturday Matinee@Saturday 10:20AM-F", "L-B2 Closed Pre Silver International Waltz", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "653", "Session 5 - Saturday Matinee@Saturday 10:22AM-F", "L-B2 Closed Pre Silver International Tango", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "654", "Session 5 - Saturday Matinee@Saturday 10:23AM-F", "L-B2 Closed Pre Silver International Viennese Waltz", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "655", "Session 5 - Saturday Matinee@Saturday 10:25AM-F", "L-B2 Closed Pre Silver International Foxtrot", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "656", "Session 5 - Saturday Matinee@Saturday 10:26AM-F", "L-B2 Closed Pre Silver International Quickstep", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "657", "Session 5 - Saturday Matinee@Saturday 10:28AM-F", "L-B1 Closed Pre Silver International Waltz", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "658", "Session 5 - Saturday Matinee@Saturday 10:29AM-F", "L-B1 Closed Pre Silver International Tango", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "659", "Session 5 - Saturday Matinee@Saturday 10:31AM-F", "L-B1 Closed Pre Silver International Viennese Waltz", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "660", "Session 5 - Saturday Matinee@Saturday 10:32AM-F", "L-B1 Closed Pre Silver International Foxtrot", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "661", "Session 5 - Saturday Matinee@Saturday 10:34AM-F", "L-B1 Closed Pre Silver International Quickstep", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "667", "Session 5 - Saturday Matinee@Saturday 10:43AM-F", "L-B1 Closed Int Silver International Waltz", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "668", "Session 5 - Saturday Matinee@Saturday 10:45AM-F", "L-B1 Closed Int Silver International Tango", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "669", "Session 5 - Saturday Matinee@Saturday 10:46AM-F", "L-B1 Closed Int Silver International Viennese Waltz", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "670", "Session 5 - Saturday Matinee@Saturday 10:48AM-F", "L-B1 Closed Int Silver International Foxtrot", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "671", "Session 5 - Saturday Matinee@Saturday 10:49AM-F", "L-B1 Closed Int Silver International Quickstep", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "672", "Session 5 - Saturday Matinee@Saturday 10:51AM-F", "L-B1 Closed Pre Gold International Waltz", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "673", "Session 5 - Saturday Matinee@Saturday 10:52AM-F", "L-B1 Closed Pre Gold International Tango", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "674", "Session 5 - Saturday Matinee@Saturday 10:54AM-F", "L-B1 Closed Pre Gold International Viennese Waltz", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "675", "Session 5 - Saturday Matinee@Saturday 10:55AM-F", "L-B1 Closed Pre Gold International Foxtrot", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "676", "Session 5 - Saturday Matinee@Saturday 10:57AM-F", "L-B1 Closed Pre Gold International Quickstep", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "677", "Session 5 - Saturday Matinee@Saturday 10:59AM-F", "L-B2 Closed Int Silver International Waltz", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "678", "Session 5 - Saturday Matinee@Saturday 11:00AM-F", "L-B2 Closed Int Silver International Tango", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "679", "Session 5 - Saturday Matinee@Saturday 11:02AM-F", "L-B2 Closed Int Silver International Viennese Waltz", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "680", "Session 5 - Saturday Matinee@Saturday 11:03AM-F", "L-B2 Closed Int Silver International Foxtrot", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
["Heat", "681", "Session 5 - Saturday Matinee@Saturday 11:05AM-F", "L-B2 Closed Int Silver International Quickstep", "155", "Gorianskyi, Oleg and Best, Diana", "---"]
